"","title","contents"
"1","한때 최고 유망주였지만...이젠 알바니아 리그 관심 받는 신세 '굴욕'","  스포츠 매체 '토크 스포츠'는 25일(한국시간) ""메이슨 그린우드(21)가 익명의 알바니아 클럽의 관심을 받고... 여기서 뜬금없이 알바니아 클럽의 관심을 받고 있다. 알바니아는 남유럽의 발칸 반도 서부에 위치한 국가다.... "
"2","伊 총리도 갔다…고물가 덮친 유럽서 알바니아 휴가지로 각광","  라마 알바니아 총리 ""올해 들어 이탈리아 관광객 50만명 달해"" 신창용 특파원 = 조르자 멜로니 이탈리아 총리가 발칸반도의 소국 알바니아로 피서를 떠나 화제를 모으고 있다. 16일(현지시간) 스카이TG24 등 현지... "
"3","알바니아 휴가 간 이탈리아 총리, ‘먹튀’ 관광객들 대신 결제하세요","  이탈리아 정부가 외교적인 차원에서 자국 관광객들이 ‘먹튀’를 한 알바니아의 식당에 음식 값을 변제했다. 조르자 멜로니 이탈리아 총리가 얼마 전 알바니아로 휴가를 떠났다는 사실이 화제가 됐는데 에디 라마... "
"4","젤렌스키, 그리스 방문…EU-발칸 비공식 회의 참석","  다만 EU 가입을 위해 수년째 대기 중인 알바니아의 에디 라마 총리는 이번 만찬에 불참했다. 지난 5월 알바니아 지방선거를 앞두고 그리스 소수민족 지도자인 프레디 벨레리가 선거법 위반(매수)으로 체포된 사건을... "
"5","알바니아서 伊국민 음식값 '먹튀' 논란…멜로니 ""대신 낼게요""","  알바니아 주재 대사에게 조치 지시…알바니아 총리가 SNS로 사연 소개 신창용 특파원 = 알바니아에서 이탈리아 관광객이 식사한 뒤 음식값을 내지 않고 도망친 사건과 관련해 조르자 멜로니 이탈리아 총리가 피해 보상을... "
"6","관광지 해변 앞자리가 22만원…바가지 심한 ‘이 나라’","  많은 이탈리아인이 평소와 다르게 현지 숙소를 포기하고 알바니아와 몬테네그로 같은 해안 국가를 선택하고 있다고 한다. 조르자 멜로니 이탈리아 총리조차 올해 알바니아에서 짧은 해변 휴가를 보냈다고 CNN은 전했다. "
"7","“빵 잘라드릴게요, 2900원에”…유럽 휴가철 바가지 실화","  이탈리아가 알바니아나 몬테네그로 등 지중해의 다른 관광지 물가보다 240%나 비싸 이탈리아인들은 여름 휴가를 인근 국가로 가거나 집에서 보낸다고 전했다. 조르지아 멜로니 이탈리아 총리도 올해 알바니아에서 짧은... "
"8","[스브스픽] ""샌드위치 커팅 3천 원""…""총리도 다른 나라로 피서 갔다""","  이 여파로 정작 이탈리아 사람들은 알바니아 등 물가가 저렴한 주변국으로 여행을 가고 있는데, 하필 이때 조르자 멜로니 이탈리아 총리도 알바니아로 피서를 가면서, 총리조차 고물가와 바가지요금을 피한 거냐는... "
"9","""샌드위치 반으로 자르려면 3000원""…'바가지'에 분통 터진 유럽 관광객들","  특히, 이탈리아의 소비자보호단체는 알바니아나 몬테네그로 등 지중해의 다른 관광지 물가도 비교해도 약... 무엇보다 지난 16일(현지시간) 조르자 멜로니 이탈리아 총리가 발칸반도의 소국 알바니아로 피서를 떠나자... "
"10","유엔 안보리, 17일 北 인권문제 공개회의…표결로 개최 결정","  앞서 이달 안보리 순회 의장국을 맡은 미국은 한국과 일본, 알바니아와 함께 지난 10일 북한 인권 문제 관련 공개회의를 요청한 바 있다. 하지만 중국·러시아가 안보리 내에서 북한의 '뒷배'를 자처해온 만큼, 이번... "
"11","“샌드위치 자르는데 3000원”… 말 나오고 있는 유럽 '바가지요금' 사태","  앞서 조르자 멜로니 이탈리아 총리가 그동안 휴가를 보내던 풀리아에서 짐을 싸서 알바니아로 향했다는 소식이 알려지자, 네티즌들은 ""총리가 고물가와 바가지 상술에 질려 저렴하게 휴가를 즐길 수 있는 알바니아로... "
"12","한미일, 안보리 北인권회의 요청…""무기개발로 연결""(종합2보)","  이사국으로서 알바니아, 대한민국, 일본에 북한의 인권 침해와 위반 사항에 관한 안보리 회의를 요청했다""고... 주유엔 한국 대사, 이시카네 기미히로 주유엔 일본 대사, 페리트 호자 주유엔 알바니아 대사가 참석했다． "
"13","한미일 정상회의 앞두고 안보리서 '北인권' 공조… 결실 맺을까","  외교소식통에 따르면 앞서 지난 10일 한미일 3국과 알바니아가 함께 안보리에 요청한 북한인권 관련... 소식통에 따르면 절차투표 이후 안보리 회의 개최가 확정될 경우 한미일 3국 및 알바니아가 요청한 17일 당일 바로... "
"14","""北 미사일은 인민의 피"" 탈북민 호소에도… 안보리 '北 인권회의' 빈손 종료","  한미일과 함께 이날 북한 인권 문제 안건을 공동 발의한 알바니아의 페리트 호자 대사는 자신도 북한 정권과... 한국과 미국, 일본, 알바니아의 요청으로 소집된 이번 회의에서 북한 인권 안건은 절차투표 없이 곧바로... "
"15","기아, 아프리카의 자립 돕다… 11곳에 학교·병원·직업시설","  기아는 지난달 발칸반도에 위치한 '유럽의 빈국' 알바니아(1인당 GDP 76위)에 대표 사회공헌활동인 '그린라이트 프로젝트'의 13번째 거점을 마련했다. 거점이 마련된 곳은 알바니아에서도 특히 의료와 보건서비스가... "
"16","""커피·물 9만원, 파라솔·선베드 15만원""...이탈리아 관광객 울리는 '바가지...","  알바니아나 몬테네그로 등 지중해 다른 관광지 물가와 비교해도 약 240%나 치솟았다는 것이다. 노프로핏은... 이탈리아 현지 주민의 경우 지나치게 높은 물가로 자국 대신 알바니아 등으로 피서를 떠나는 경우가... "
"17","이번 주 한미일 정상회의...'삼각 공조' 의제는?","  한미일과 알바니아 4개국이 공동으로 해서 유엔안보리에서 북한 인권 문제를 제기하겠다, 논의하겠다고... 15개 국가 중에 9개국이 찬성하면 되는데 아까 말씀드린 것처럼 한국, 미국, 일본, 알바니아가 공동으로 했고... "
"18","[경제합시다] “커피 2잔·물 2병에 9만 원”…유럽도 ‘바가지 요금’에 “저...","  바다 건너 발칸반도의 소국 알바니아의 산과 해변으로 많이 갔다고 합니다. 상대적으로 물가가 저렴하기 때문인데요. 멜로니 이탈리아 총리마저도 알바니아에서 휴가를 보낼 정도로 인기가 높다고 합니다. 지금까지... "
"19","[김여수의 월드뮤직 세계사] 유럽의 화약고, 코소보 분쟁 속의 집시들","  코소보는 세르비아 땅인데 알바니아 놈들이 숫적으로 우세하다고 몇 안되는 세르비아인을 못살게 굴어왔잖소! 코소보 – 그러니까 독립하겠다는 거요!. 우리 코소보에 세르비아인은 고작 2%밖에 안되오.. 알바니아인이 94... "
"20","[경제산책] 폰지 사기","  1997년 알바니아 금융사기 사건은 국민 대부분이 고수익에는 고위험이 따른다는 투자의 기본도 모르는 상태에서 국민의 60% 이상이 폰지 사기에 휘말린 것이다. 그 결과 알바니아는 국가 경제체제가 붕괴되고 정치적... "
"21","유엔 안보리, 17일 공개회의서 '북한인권' 다룬다","  이번 회의는 미국이 한국과 일본, 알바니아와 함께 유엔 안보리에 요청한 것으로, 2017년 이후 6년 만에 개최된다. 볼커 투르크 유엔 인권최고대표, 엘리자베스 살몬 북한인권 특별보고관, 시민단체 북한인권 전문가들이... "
"22","[청계광장]카눈과 카눈","  '부서진 4월'은 알바니아 작가 이스마일 카다레의 소설로 '카눈'에 관한 이야기다. 열대과일이 아니고 '카눈... 언어의 의미론적 차원에서는 동의어지만 알바니아의 역사, 문화적 배경에서는 그 감각이 다르다. 잉크 냄새... "
"23","안보리 ‘北인권회의’ 추진… 北 “자주권 침해, 배격”","  앞서 한미일 3국과 알바니아가 지난 10일(현지시간) 북한 인권을 주제로 한 안보리 공개회의를 한미일 정상회의 하루 전인 17일에 열자고 요청한 데 따른 것이다. 김선경 북한 외무성 국제기구담당 부상이 15일 이런 내용의... "
"24","한미일 정상회의 앞두고…정부, 이례적으로 中물대포에 ""우려""","  린다 토머스-그린필드 주유엔미국대사는 10일(현지시간) 브리핑에서 ""한ㆍ미ㆍ일과 알바니아가 공동으로... 3국과 알바니아가 공개 회의를 요청한 17일은 공교롭게 한ㆍ미ㆍ일 정상회의가 열리기 하루 전이다. 다만 중국과... "
"25","가뭄에 신음하는 지중해 국가들, 바닷물서 염분 빼 식수로","  건설해 알바니아 강물 끌어쓰기로 수돗물의 5분의 1은 담수화한 바닷물이고 또 다른 5분의 1은 화장실 등에서... 이탈리아 남동부 풀리아 지역에서는 당국이 아드리아해 건너 알바니아에서 강물을 끌어 쓰기 위해 10억... "
"26","관광 부흥 알바니아 ""일손 없어…이러다 개점휴업""","  발칸 반도의 작은 나라 알바니아가 최근 인기 관광지로 주목받고 있습니다. 하지만 관광객이 와도 손님을... '유럽의 몰디브'로 불리며 인기 관광지로 주목받는 유럽 동남부의 작은 나라 알바니아입니다. 지난해... "
"27","러시아, 비우호국 대상 ‘이중과세방지협정’ 효력 일시중단","  포르투갈, 알바니아, 불가리아, 바누아투, 아이슬란드, 키프로스, 대한민국, 라이베리아, 모리셔스, 몰타... 슬로바키아, 알바니아, 벨기에, 슬로베니아, 크로아티아, 캐나다, 스위스, 몬테네그로, 체코, 덴마크, 노르웨이... "
"28","사우디 아라비아 E비자 발급대상 8개국 추가 57개국으로","  이번에 전자 비자 발급이 허용된 대상국은 알바니아, 아제르바이잔, 조지아, 키르기스스탄, 몰디브, 남아공, 타지키스탄, 우즈베스탄이다. 관광, 사업, 종교를 목적으로 한 여행객들로 이로써 e비자 발급국은 총... "
"29","역대급 가뭄 지중해 국가들, 바닷물 끌어 식수로 쓴다","  - 伊, 알바니아 강물 끌어쓰기 위해 - 1조 투자 해저파이프 건설 추진 슬로베니아 등 중부 유럽과 중국 일부... 남동부 풀리아 지역에서는 아드리아해 건너 알바니아에서 강물을 끌어 쓰기 위해 10억 유로(약 1조4000억 원)를... "
"30","[오늘의 친선경기] '5분 선제실점' 분노한 인터밀란, 알바니아 팀에 4골 폭격","  지난 14일 오전(한국시간), 이탈리아 페라라시 파울로 마차 스타디움에서 펼쳐진 친선경기에서는 분노한 인터밀란이 KF에그나티아(알바니아 1부리그)를 4-2로 완파했다. 경기는 인터밀란의 뜻대로 흘러가지 않았다. 단... "
"31","러시아, 비우호국 제품 관세 인상 및 수입 금지 확대","  우크라이나, 알바니아, 몬테네그로, 아이슬란드, 리히텐슈타인, 영국, 북아일랜드 등 38개국이... 우크라이나, 알바니아, 몬테네그로, 아이슬란드, 리히텐슈타인, 영국, 북아일랜드 *주: 품목 설명은... "
"32","거대 산불에 휩싸인 지중해 연안…폭염 타고 ‘통제불능’","  그리스에서는 거의 매일 새로운 산불이 발생하고 있고, 이탈리아와 알바니아 등이 화마와 싸우고 있습니다.... 남부 유럽과 알바니아, 크로아티아, 튀르키예 북아프리카 튀니지 등 지중해 연안 국가들이 대형 산불로 신음... "
"33","기아, 알바니아 지역 장애아 치료·농작물 판매 도와…""자립 지원""","  기아 유럽권역본부 직원들과 마리글렌 디샤(Mariglen Disha) 알바니아 리브라즈드 시장(왼쪽 세 번째) 등... 거점을 알바니아로 선정했다. 기아는 19일(현지시간) 알바니아 리브라즈드에서 그린라이트 프로젝트 런칭 행사를... "
"34","한화큐셀, 알바니아 93㎿ 태양광 프로젝트 모듈 공급","  알바니아 태양광 회사 '페이톤', 환경영향평가 신청 태양광 모듈 15만7625개 납품 한화큐셀이 알바니아 태양광 회사 '페이톤(Faethon)'이 건설 예정인 태양광 발전소에 모듈을 공급할 것으로 보인다. 긴 일조 시간을... "
"35","안보리 내일 北위성발사 공식논의…북한도 참석할 듯(종합)","  이번 회의는 미국, 영국, 프랑스, 일본, 알바니아, 몰타, 에콰도르 등 안보리 이사국 7개국과 한국이 소집을 요청했다. 한국도 이해 당사국 자격으로 이번 회의에 참석한다. 외교부 당국자는 25일 ""정부는 이번 회의에... "
