file_id,user_id,subforum_id,num_contexts,label_text,sentence,label
13454399_2,572059,1347,0,hate,With Black girls it takes a baseball bat - who carries a mu-ff' in baseball bat on a date ??,1
30677075_2,575083,1347,0,hate,They laugh at whites who obey the law  bother to get married  women who are chaste .,1
14417461_3,573188,1375,0,hate,Maybe God was punishing them for their interracial marriage .,1
13458375_3,579408,1347,0,hate,Send them all to Afreaka And sink the farkin boat !,1
30447521_3,576342,1362,3,hate,- White GeNOcide Project,1
14673719_1,575882,1371,0,hate,Would black people rather take one million dollars to move themselves and their immediate family back to the motherland  or stay here in America and blame whites for their poverty and crime ?,1
30457422_1,572269,1388,0,hate,And then there 's Asiacourt  the once beautiful  safe  WHITE  area of Scarborough ... ( and the last i checked ) was a garbage infested Chinease outpost .,1
14652674_1,572337,1371,0,hate,Indeed now they just need to feed themselves  educate themselves  police themselves ad nauseum ......,1
14409149_2,580348,1375,0,hate,White town saved by the magic negroes of Afreakkaland .,1
30422907_2,602986,1354,3,hate,It is easier for other races to follow the herd but not Whites .,1
30481256_1,577037,1388,0,hate,Better some overly polite White guy offering to tell you about the word of Joseph Smith than some nignog car jacking you .,1
12849464_4,575975,1346,1,hate,And the sad thing is the white students at those schools will act like that too .,1
13456064_2,574116,1347,0,hate,I just cant stand to listen to negros sing and 30 sec. is all I could handle .,1
14102803_1,573589,1381,0,hate,id like kids eventually. but not now. as for your sterlization. that is great. there really is no use for ppl to produce kids if they are wackos. being a nutjob is herditary .,1
30954922_1,572228,1346,0,hate,I wish you luck  is it any wonder Jew males lust for our White women ?,1
13502430_2,579436,1395,2,hate,They 're probably as high-maintenance as one of those crappy old East German Trabants  though .,1
12860642_2,572479,1346,2,hate,This was a bad move by the Jew puppets .,1
30767756_3,572648,1354,3,hate,I guess I would be destined for the gas chambers .,1
13468931_1,583169,1346,1,hate,All i have to say is none of this crap that is happening in the world is going to change unless people on a large scale actually stand up and say no we have had enough and drag the scum in the streets and deal with them in a most violent way .,1
30626672_2,573125,1354,0,hate,There will always be survivors  the juden will never let go of the holahoax,1
14023644_1,572921,1387,0,hate,It only took Labour ten years to bring more immigrants * cough * invaders  here than had ever migrated here in the last 5 thousand years .,1
30733649_2,572291,1354,1,hate,Therefore everyone in this thread is a holocaust survivor .,1
14670038_1,573247,1371,0,hate,I did n't realize we were offending you by pointing out how often Asians and Jews get surgery to look more White .,1
30754357_1,576340,1354,1,hate,`Interesting' to see someone of the same radio outfit to praise this figure  while there was an amazing show dedicated to uncovering the facts regarding this anti-German filth .,1
13853553_2,592575,1391,0,hate,Ireland does n't need arab scum like these .,1
13501379_2,586486,1395,0,hate,There are really few Jews and millions of those bastards on the body of our country .,1
13477832_3,573347,1345,0,hate,When ever I see these white children murdered by these sub humans it makes me so angry I could cry .,1
31723718_1,589856,1363,2,hate,You are white and you are better then them and the next time they harass you and someone else form a group of buddies and go up to the proncipal office .,1
13851745_1,588263,1391,0,hate,immigrants are desperate to stay here. who can blame them ? our government treats them as lords and we as muck. welcome to SFI Pluirin !,1
13850034_2,592500,1391,0,hate,It 'll be a welcome change to see a fellow WN from seeing hundreds of lefty bastards going to see RATM .,1
14670146_1,614439,1371,0,hate,It is important for people to realize that gays want gay marriage ..... not because they desire some sort of government paperwork  but because they are seeking the right to adopt defenseless children .,1
14080170_1,577768,1383,1,hate,It is an extremely cruel act against the poor Vodka-bottle forcing it to spend it 's time forever close to a jew .,1
14411259_1,587961,1375,0,hate,Charlton Heston is rolling over in his grave knowing an ape has been elected to the white house .,1
30837533_1,572087,1346,0,hate,A Kosher slaughter  blessed by every Rabbi under the sun .,1
13504803_9,586601,1395,0,hate,I had the luck ( ... ) to meet some africans in the past and I promise you that black are the worse cancer of the world  they 're ready to sell their own sister so you can imagine what will they do with our Countries ..,1
13458187_2,582515,1347,2,hate,Most of these videos belong on the Animal Planet tv channel .,1
12959685_1,577004,1345,0,hate,Yep the bottom line is without a strong family behind her a young girl is very vulnerable .. The Jew knows this and Glamorises the Negro using its media power  here we see the results .,1
30428427_1,734569,1348,0,hate,Check out this youtube channel i found  i agree with most of what he says Diversity DESTROYS Social Cohesion in the West - YouTube,1
30392062_1,735389,1362,0,hate,White kids need to interact with kneegrows and other non white kids or they 'll be lost in the real come the time they leave home ...,1
13842818_2,591162,1391,3,hate,If we do n't act soon they will bread us out .,1
13642136_2,591160,1391,0,hate,Piece of * * * * deserves to be shot .,1
14023352_1,572037,1387,0,hate,put the kids in a ophanage and arrest the whore of a mother to a point of not having more biracial kids 8 kids have to suffer all their lives to due a whore,1
30429635_1,578247,1354,0,hate,When asked how I knew the holocaust was a lie my answer was if it was the truth there would be no laws against saying it was a lie .,1
14088263_1,577767,1381,0,hate,...mating with other mulattos would be ideal  but since there are n't huge numbers of mulatto children compared to those of Whites or blacks I 'd rather see them up with blacks so that White bloodlines stay intact .,1
13449604_1,572896,1347,0,hate,because they deserve at least a taste of it for helping the white liberals and Jews push it on us I do n't think we should allow it to destroy them though .,1
12855154_1,576372,1346,0,hate,Their gods often had pale skin and blue eyes but I suppose literacy is n't valued highly by their cultural intelligencia .,1
14274155_2,598711,1380,1,hate,We are looking into building `` mud free zones '' by way of taking over key locations and building a refuge for our racial kindred .,1
14678021_1,572231,1371,0,hate,Watch the video  its only 10 minutes  you will see that eventually the bi-racial minority is butchered .,1
13250505_1,575766,1345,0,hate,As I commented a few days ago on this thread  massive race ( or ethnic ) mixing tends to preceed massive race ( or ethnic ) war .,1
30745654_1,575980,1354,1,hate,This might take the cake of the biggest load of bullsh ! t the Jews have tried to pass by the goyim .,1
13058178_1,578203,1345,0,hate,And these words of wisdom come from a man that thinks another mans anus as well as his own was made to be used as a vagina :,1
13117052_1,572234,1345,5,hate,The media wants to bury the story because they care more about homo killers not getting their sick fetish for young boys fufilled .,1
12854968_2,575569,1346,0,hate,My wife had to spend time at the UP Hospital in Philadelphia - thank God I was licensed to carry in Pa. Downtown Philadelphia is becoming a cesspool .,1
13589608_2,586693,1393,0,hate,Beautiful Sweden poisoned by Arab/Muslim trash .,1
14071005_1,572097,1383,0,hate,Like it or not  and I certainly do n't  but Ireland  especially NI is littered with memorials to  and even statues of  red terrorists .,1
13503506_1,586345,1395,0,hate,thats good there they was cleaning the moscow the same way like the capital i with thay would clean here this banana republic ( Washington DC ) send all this blacks and welffare resipiance to the mexico or at list Detroid 2056,1
30618051_1,739787,1359,0,hate,If you want to see what having a black  kenyan White-hating muslime in the Whitehouse has created  go look at Tarantino 's latest flick Django Unchained .,1
14034375_1,595808,1387,0,hate,the black security guards are racist and look evil and are always giving dirty looks to white customers especially polish customers !,1
12860462_4,572067,1346,0,hate,They all deserve an ass kicking .,1
